seed,probMeat,k,EquipmentPerPerson,nPeople,switchers,meatersA1,meatersA2,meatersImmo
1398230975,0.30000000000000004,1.8000000000000005,0.5,1000.0,49110.0,45.0,49.0,47.0
632339254,0.30000000000000004,1.8000000000000005,0.5,1000.0,50265.0,49.0,46.0,47.0
2135595169,0.30000000000000004,1.8000000000000005,0.5,1000.0,49087.0,48.0,50.0,46.0
737710299,0.30000000000000004,1.8000000000000005,0.5,1000.0,48338.0,43.0,55.0,45.0
1616133238,0.30000000000000004,1.8000000000000005,0.5,1000.0,51362.0,52.0,50.0,50.0
669924851,0.30000000000000004,1.8000000000000005,0.5,1000.0,47200.0,51.0,52.0,47.0
-1180495062,0.30000000000000004,1.8000000000000005,0.5,1000.0,50992.0,48.0,56.0,46.0
2114998303,0.30000000000000004,1.8000000000000005,0.5,1000.0,51554.0,48.0,49.0,47.0
-1047666905,0.30000000000000004,1.8000000000000005,0.5,1000.0,51099.0,46.0,55.0,48.0
-113574918,0.6,0.2,0.5,1000.0,5874.0,52.0,44.0,58.0
1940298437,0.6,0.2,0.5,1000.0,6569.0,50.0,50.0,53.0
764063370,0.6,0.2,0.5,1000.0,6000.0,54.0,47.0,53.0
2110740830,0.6,0.2,0.5,1000.0,6109.0,53.0,47.0,46.0
239571861,0.6,0.2,0.5,1000.0,7017.0,51.0,50.0,48.0
1146761096,0.6,0.2,0.5,1000.0,6868.0,56.0,48.0,52.0
-1050150755,0.6,0.2,0.5,1000.0,6451.0,49.0,48.0,55.0
-1168419120,0.6,0.2,0.5,1000.0,6628.0,53.0,43.0,56.0
2138496328,0.6,0.2,0.5,1000.0,5925.0,54.0,48.0,47.0
-1248677126,0.6,0.2,0.5,1000.0,5607.0,54.0,50.0,54.0
220457894,0.4,0.02,0.5,1000.0,664.0,44.0,49.0,40.0
2113861943,0.4,0.02,0.5,1000.0,674.0,42.0,53.0,50.0
963432176,0.4,0.02,0.5,1000.0,617.0,43.0,50.0,40.0
-756851543,0.4,0.02,0.5,1000.0,640.0,46.0,54.0,42.0
-1399335693,0.4,0.02,0.5,1000.0,705.0,41.0,46.0,43.0
1934320612,0.4,0.02,0.5,1000.0,638.0,39.0,52.0,41.0
1964316755,0.4,0.02,0.5,1000.0,627.0,44.0,49.0,46.0
